injection_id,component_index,probe_id,component_role,target_amount_mol,calibration_id,saturation_vapor_pressure_Pa,vapor_pressure_source,vapor_pressure_model_id
dead-time-000,0,probe-dead-time-synthetic,dead_time_marker,1e-09,,,,
injection-08-001,0,probe-homolog-08,analyte,,calibration-probe-homolog-08,,,
injection-08-002,0,probe-homolog-08,analyte,,calibration-probe-homolog-08,,,
injection-08-003,0,probe-homolog-08,analyte,,calibration-probe-homolog-08,,,
injection-08-004,0,probe-homolog-08,analyte,,calibration-probe-homolog-08,,,
injection-09-005,0,probe-homolog-09,analyte,,calibration-probe-homolog-09,,,
injection-09-006,0,probe-homolog-09,analyte,,calibration-probe-homolog-09,,,
injection-09-007,0,probe-homolog-09,analyte,,calibration-probe-homolog-09,,,
injection-09-008,0,probe-homolog-09,analyte,,calibration-probe-homolog-09,,,
injection-10-009,0,probe-homolog-10,analyte,,calibration-probe-homolog-10,,,
injection-10-010,0,probe-homolog-10,analyte,,calibration-probe-homolog-10,,,
injection-10-011,0,probe-homolog-10,analyte,,calibration-probe-homolog-10,,,
injection-10-012,0,probe-homolog-10,analyte,,calibration-probe-homolog-10,,,
dead-time-999,0,probe-dead-time-synthetic,dead_time_marker,1e-09,,,,
